record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
256833,1997,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
186929,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
269511,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
631073,2005,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312313,2013,Rarely wore a helmet,1 or 2 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
191043,1995,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1106129,2011,NA,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
39715,1991,Never wore a helmet,NA,Yes,11 or 12 years old,NA,More than 20 cigarettes,NA
405677,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
32132,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184812,1995,Never wore a helmet,NA,Yes,9 or 10 years old,All 30 days,2 to 5 cigarettes,NA
329004,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
773799,2007,NA,NA,Yes,15 or 16 years old,All 30 days,11 to 20 cigarettes,NA
1108514,2011,NA,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
398061,2001,Rarely wore a helmet,NA,Yes,8 years old or younger,6 to 9 days,2 to 5 cigarettes,NA
1307544,2013,Did not ride a bicycle,1 or 2 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
119775,1993,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,6 to 10 cigarettes,NA
185400,1995,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
329775,1999,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
632226,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
182016,1995,Never wore a helmet,NA,Yes,8 years old or younger,10 to 19 days,11 to 20 cigarettes,NA
258881,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
258273,1997,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
764702,2007,Never wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,1 cigarette,NA
507812,2003,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
767667,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
401875,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
406681,2001,Rarely wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
107001,1993,NA,NA,Yes,8 years old or younger,All 30 days,Less than 1 cigarette,NA
771474,2007,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
401579,2001,Never wore a helmet,NA,Yes,17 years old or older,3 to 5 days,2 to 5 cigarettes,NA
503601,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
935851,2009,Never wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,6 to 10 cigarettes,FALSE
333947,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1109801,2011,Sometimes wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
930367,2009,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
266418,1997,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
107866,1993,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1103256,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
324030,1999,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
324773,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1097377,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
184256,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184195,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
323819,1999,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
513389,2003,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
