record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
400385,2001,Did not ride a bicycle,NA,Yes,8 years old or younger,All 30 days,6 to 10 cigarettes,NA
634298,2005,Never wore a helmet,NA,Yes,8 years old or younger,10 to 19 days,2 to 5 cigarettes,NA
1304411,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
120200,1993,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
502030,2003,Never wore a helmet,NA,Yes,13 or 14 years old,10 to 19 days,2 to 5 cigarettes,NA
41763,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
927473,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
398185,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1102210,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1315291,2013,Did not ride a bicycle,10 to 19 days,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,TRUE
120232,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
506471,2003,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
122307,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1311543,2013,Never wore a helmet,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
638014,2005,Did not ride a bicycle,NA,Yes,13 or 14 years old,All 30 days,11 to 20 cigarettes,NA
762878,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,NA,Did not smoke cigarettes,NA
639088,2005,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
261394,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
121845,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
33850,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
641570,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
115022,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
324017,1999,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
500494,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
506862,2003,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
35320,1991,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
31167,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1310221,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
399828,2001,Never wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
111461,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
397666,2001,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
632240,2005,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117746,1993,Did not ride a bicycle,NA,Yes,15 or 16 years old,3 to 5 days,Less than 1 cigarette,NA
926872,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
503976,2003,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
1316738,2013,Rarely wore a helmet,3 to 5 days,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,FALSE
1097137,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
183373,1995,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
925804,2009,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,1 cigarette,FALSE
189763,1995,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
407436,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
631430,2005,Did not ride a bicycle,NA,Yes,15 or 16 years old,10 to 19 days,2 to 5 cigarettes,NA
41907,1991,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
266701,1997,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
932370,2009,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
760698,2007,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
503440,2003,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
324082,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
631674,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
632624,2005,Never wore a helmet,NA,Yes,11 or 12 years old,All 30 days,6 to 10 cigarettes,NA
630958,2005,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1306500,2013,Never wore a helmet,10 to 19 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
183453,1995,Never wore a helmet,NA,Yes,9 or 10 years old,20 to 29 days,2 to 5 cigarettes,NA
767762,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
510933,2003,Sometimes wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,Less than 1 cigarette,NA
38871,1991,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1314390,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
937739,2009,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
266736,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
257288,1997,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189044,1995,Did not ride a bicycle,NA,Yes,11 or 12 years old,20 to 29 days,2 to 5 cigarettes,NA
183570,1995,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
188825,1995,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,6 to 10 cigarettes,NA
1315999,2013,NA,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1094996,2011,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,TRUE
267093,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
928367,2009,Did not ride a bicycle,NA,NA,NA,NA,NA,FALSE
256090,1997,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
639838,2005,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
328511,1999,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
770663,2007,Did not ride a bicycle,NA,Yes,13 or 14 years old,3 to 5 days,2 to 5 cigarettes,NA
260716,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
407606,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
937110,2009,NA,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
183611,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
925326,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
325782,1999,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
112722,1993,Did not ride a bicycle,NA,Yes,15 or 16 years old,All 30 days,11 to 20 cigarettes,NA
32652,1991,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
267227,1997,Most of the time wore a helmet,NA,No,Never smoked a cigarette,NA,NA,NA
629017,2005,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
269089,1997,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,NA
405713,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189839,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
109350,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
501757,2003,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
925717,2009,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,TRUE
1100727,2011,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,TRUE
1102303,2011,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
259753,1997,NA,NA,Yes,15 or 16 years old,1 or 2 days,1 cigarette,NA
407630,2001,Did not ride a bicycle,NA,Yes,13 or 14 years old,1 or 2 days,6 to 10 cigarettes,NA
186803,1995,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1312331,2013,Did not ride a bicycle,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
106907,1993,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
508524,2003,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
117662,1993,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
1094606,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
256319,1997,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107105,1993,Never wore a helmet,NA,Yes,11 or 12 years old,NA,NA,NA
116287,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
396198,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
401415,2001,Always wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,2 to 5 cigarettes,NA
189201,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189430,1995,Never wore a helmet,NA,Yes,9 or 10 years old,1 or 2 days,Less than 1 cigarette,NA
37287,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
511455,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
36610,1991,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
770287,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
41803,1991,NA,NA,NA,NA,NA,NA,NA
257748,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
37395,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1314492,2013,Never wore a helmet,20 to 29 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
188331,1995,Never wore a helmet,NA,Yes,9 or 10 years old,NA,2 to 5 cigarettes,NA
114484,1993,NA,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
932032,2009,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
502056,2003,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
32379,1991,Never wore a helmet,NA,Yes,11 or 12 years old,1 or 2 days,Less than 1 cigarette,NA
37620,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
267435,1997,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
38890,1991,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
107716,1993,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
262457,1997,Never wore a helmet,NA,Yes,13 or 14 years old,6 to 9 days,6 to 10 cigarettes,NA
329910,1999,Always wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
1099307,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
922544,2009,Never wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,FALSE
403206,2001,Sometimes wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
636121,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
396799,2001,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
641579,2005,Did not ride a bicycle,NA,Yes,17 years old or older,NA,NA,NA
764699,2007,Always wore a helmet,NA,Yes,17 years old or older,1 or 2 days,Less than 1 cigarette,NA
767810,2007,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
771886,2007,Always wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184838,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
267021,1997,Never wore a helmet,NA,Yes,9 or 10 years old,All 30 days,6 to 10 cigarettes,NA
513677,2003,Did not ride a bicycle,NA,Yes,17 years old or older,1 or 2 days,1 cigarette,NA
635519,2005,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
327540,1999,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
31112,1991,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1101101,2011,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,TRUE
111440,1993,Sometimes wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
1303646,2013,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
922875,2009,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1308973,2013,Never wore a helmet,10 to 19 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
268299,1997,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1100647,2011,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
108891,1993,Did not ride a bicycle,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
1099118,2011,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
396652,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
41639,1991,Did not ride a bicycle,NA,NA,NA,0 days,Did not smoke cigarettes,NA
33493,1991,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
258542,1997,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
400828,2001,Sometimes wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
762624,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1097354,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
501764,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1307606,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
402217,2001,Never wore a helmet,NA,Yes,17 years old or older,1 or 2 days,Less than 1 cigarette,NA
405191,2001,Never wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
638110,2005,Always wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
1312163,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
38745,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
928754,2009,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1316907,2013,Never wore a helmet,6 to 9 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1310262,2013,Did not ride a bicycle,0 days,Yes,15 or 16 years old,All 30 days,6 to 10 cigarettes,FALSE
33970,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
400255,2001,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,More than 20 cigarettes,NA
1305562,2013,Rarely wore a helmet,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
506965,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1313265,2013,Sometimes wore a helmet,0 days,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,FALSE
330683,1999,Most of the time wore a helmet,NA,Yes,13 or 14 years old,10 to 19 days,Less than 1 cigarette,NA
184905,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403900,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
396178,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
121186,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
935562,2009,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
30595,1991,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,11 to 20 cigarettes,NA
768465,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
269117,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
771446,2007,Rarely wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
638208,2005,Sometimes wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
110120,1993,Did not ride a bicycle,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
190617,1995,Did not ride a bicycle,NA,Yes,15 or 16 years old,1 or 2 days,1 cigarette,NA
322794,1999,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
408286,2001,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,2 to 5 cigarettes,NA
772269,2007,Did not ride a bicycle,NA,Yes,13 or 14 years old,1 or 2 days,1 cigarette,NA
504669,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
504097,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
631005,2005,Sometimes wore a helmet,NA,NA,Never smoked a cigarette,0 days,NA,NA
1305034,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
113345,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1104249,2011,NA,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
181964,1995,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
113542,1993,Never wore a helmet,NA,Yes,Never smoked a cigarette,NA,NA,NA
265099,1997,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
120659,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
771057,2007,Most of the time wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
1101646,2011,Did not ride a bicycle,NA,Yes,15 or 16 years old,6 to 9 days,2 to 5 cigarettes,FALSE
632611,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1309096,2013,Never wore a helmet,1 or 2 days,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
765526,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
267585,1997,Never wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,2 to 5 cigarettes,NA
638016,2005,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
639031,2005,Always wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,1 cigarette,NA
264950,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
504864,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1307187,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
182070,1995,Never wore a helmet,NA,Yes,9 or 10 years old,20 to 29 days,1 cigarette,NA
328590,1999,Always wore a helmet,NA,Yes,11 or 12 years old,All 30 days,6 to 10 cigarettes,NA
506725,2003,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
773441,2007,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1108193,2011,Never wore a helmet,NA,Yes,11 or 12 years old,10 to 19 days,2 to 5 cigarettes,FALSE
331462,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
764623,2007,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
511854,2003,Rarely wore a helmet,NA,Yes,17 years old or older,NA,NA,NA
925045,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
641843,2005,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
634353,2005,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
773475,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
186445,1995,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
260194,1997,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,2 to 5 cigarettes,NA
1304803,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
771492,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1308150,2013,Never wore a helmet,All 30 days,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,FALSE
107186,1993,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,Less than 1 cigarette,NA
36279,1991,Did not ride a bicycle,NA,Yes,NA,0 days,Did not smoke cigarettes,NA
117679,1993,Did not ride a bicycle,NA,Yes,8 years old or younger,All 30 days,6 to 10 cigarettes,NA
1315430,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
503732,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
330089,1999,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
40890,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
763861,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
334288,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
761309,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
41801,1991,Did not ride a bicycle,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
122845,1993,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
932107,2009,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
937660,2009,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
265992,1997,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
629646,2005,Never wore a helmet,NA,Yes,11 or 12 years old,10 to 19 days,1 cigarette,NA
927210,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
256909,1997,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
1313366,2013,Never wore a helmet,I did not drive the past 30 days,Yes,8 years old or younger,6 to 9 days,NA,FALSE
401861,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1315735,2013,Never wore a helmet,I did not drive the past 30 days,Yes,11 or 12 years old,6 to 9 days,1 cigarette,FALSE
633311,2005,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
928779,2009,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1313254,2013,Always wore a helmet,0 days,Yes,15 or 16 years old,1 or 2 days,1 cigarette,FALSE
189174,1995,Did not ride a bicycle,NA,Yes,11 or 12 years old,20 to 29 days,2 to 5 cigarettes,NA
32592,1991,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1101990,2011,Never wore a helmet,NA,NA,Never smoked a cigarette,0 days,NA,FALSE
640294,2005,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
31529,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1094903,2011,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1304337,2013,Never wore a helmet,0 days,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,FALSE
399698,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
321434,1999,Did not ride a bicycle,NA,Yes,8 years old or younger,1 or 2 days,Less than 1 cigarette,NA
511233,2003,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
118085,1993,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1315521,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
640249,2005,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
323260,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
335733,1999,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,NA
257657,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
263169,1997,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
332531,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
190724,1995,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
121991,1993,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
324754,1999,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
